what,kind,bundleId,bundleVersion,description,time
started,bundle,org.maven.ide.eclipse.mylyn3,0.9.9.200912160759,org.maven.ide.eclipse.mylyn3,1280360781986
started,bundle,org.eclipse.dltk.core,1.0.2.v20100209-1928,org.eclipse.dltk.core,1280360782011
started,bundle,org.deved.antlride.core,2.0.2.201004112039,org.deved.antlride.core,1280360782011
started,bundle,org.deved.antlride.ui,2.0.2.201004112039,org.deved.antlride.ui,1280360782011
started,bundle,org.rubypeople.rdt.core,0.9.1.200711131528NGT,org.rubypeople.rdt.core,1280360785820
started,bundle,org.rubypeople.rdt.launching,0.9.1.200711131528NGT,org.rubypeople.rdt.launching,1280360785827
started,bundle,com.aptana.rdt.ui,0.9.1.200711131528NGT,com.aptana.rdt.ui,1280360785828
started,bundle,com.aptana.rdt,0.9.1.200711131528NGT,com.aptana.rdt,1280360785844
started,bundle,org.rubypeople.rdt.ui,0.9.1.200711131528NGT,org.rubypeople.rdt.ui,1280360786038
started,bundle,org.eclipse.dltk.launching,1.0.1.v20090910-1601,org.eclipse.dltk.launching,1280360786389
started,bundle,org.eclipse.dltk.ui,1.0.2.v20100209-1928,org.eclipse.dltk.ui,1280360786425
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1280360787699
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1280360797749
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1280360797760
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1280360797778
stopped,bundle,com.aptana.rdt.mylyn,0.9.1.200711131528NGT,com.aptana.rdt.mylyn,1280360797782
started,bundle,org.eclipse.cdt.core,5.0.2.200902130801,org.eclipse.cdt.core,1280360797908
started,bundle,org.eclipse.ui.navigator,3.3.102.M20090127-1700,org.eclipse.ui.navigator,1280360797949
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1280360797992
started,bundle,org.eclipse.ltk.core.refactoring,3.4.2.r342_v20081028-0800,org.eclipse.ltk.core.refactoring,1280360797997
started,bundle,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui,1280360798010
started,bundle,org.eclipse.cdt.make.ui,5.0.1.200902130801,org.eclipse.cdt.make.ui,1280360798029
started,bundle,org.eclipse.cdt.mylyn.ui,5.0.1.200902130801,org.eclipse.cdt.mylyn.ui,1280360798242
started,bundle,org.eclipse.mylyn.pde.ui,3.3.2.v20100222-0100-e3x,org.eclipse.mylyn.pde.ui,1280360798255
started,bundle,org.eclipse.dltk.mylyn,1.0.0.v200906150008,org.eclipse.dltk.mylyn,1280360798272
